Sequências,Classe
01100101110001110011011011010110110110101110101110,Humana
10111000101101110111101010101011100101001101010100,Humana
00000011000101000111010110111000010101010111011110,Aleatória
11000111000011111111111011110011111100000000000010,Humana
11000010010011100111000001000101010010011000010010,Aleatória
01010101111101011000001000101010101010101010101010,Humana
01011110101110000010101000001000010111100101110010,Humana
11010111101101011100010000111001001011111001001110,Aleatória
11101100110000001111101010011011101111111110010101,Aleatória
00000111010111111010111011010100010110100010010000,Aleatória
11010101110101000101010010101000010101111010101001,Humana
01111100000011010000001001111001011100100000101101,Aleatória
10001001001011010010010000100010001010010111010111,Aleatória
00111000110001010100001111000110101010101111100001,Humana
11110010010011000100100011111111111000111100110011,Aleatória
10101011110000000001010101011110110001001100111011,Humana
10001000011101101101010110100101101111100111111101,Aleatória
01100110011000111110100100110110000110011110011011,Aleatória
01111111111111111011110000001010101010101010100101,Humana
11000101010010010010110101100011101000111011001110,Aleatória
10101110101100001111010010000110001111000101110110,Aleatória
11100111111110001101110010101010100010111110010101,Aleatória
11011101110110001000111110000001001111001110001010,Aleatória
10011101011100010110000000110101110110111011001001,Aleatória
10101100010110010001010110000111011100110111101110,Aleatória
00110101011101010000100010101111111000000101011000,Humana
10000101101111010101010010101000010101100010111110,Humana
10111010011010011001100100110111110100001101001010,Humana
10100110011010101010010101101010101010101010101010,Humana
01111010100100110010101011100110001010111101000001,Aleatória
11111111111111111111111111111111111111100000000000,Humana
01010100010001010111100010101010101001000100100100,Humana
01010101101011001001001010010010010101010101001110,Humana
11110101101010101010110100110011000100101111110110,Aleatória
10011000110111111110101110111110001111011010111100,Aleatória
11011111011011010011000010101110100010100111010010,Aleatória
10101111101010010111000100000100011101011111110001,Aleatória
01100000010101001011001110001101000100110111101001,Aleatória
01101001110000111101010010010110000010111101010101,Aleatória
10010101101010111011111011010111010111010111000001,Aleatória
00110001111010111011001011000101111000101010010111,Humana
01110001001110110011101101011100100110111110000110,Humana
01010111010100101010010101001010111001010101010010,Humana
01010101010101010100110010101010101010101001010101,Humana
00000000000011101001010101110111111111100101010101,Humana
10111100000100100000110011101001101001101111010000,Aleatória
01001000011001010111010001111011010110110001101100,Humana
01010101101010010101011010101010011010010110101010,Humana
00101001101010010110101101111100001001000110111101,Aleatória
01100111101011111000011110010101110100111001110100,Aleatória
10000101011110010101100000101111000010101111000101,Humana
11010010011110011110001100111011101100111111111000,Aleatória
00010010001110110001101001011011110111011110100000,Aleatória
00101101110101010011101001010101111010001011010010,Humana
10101010101010010010010101010010101001001001001111,Humana
01001011100011110100100110100011011011011010101101,Aleatória
10000111111000000111100001110011001101010101010011,Humana
11110101111011111000101001001000100001010011110111,Humana
01010010010010010010010010010010010010010010010010,Humana
11000101010100111010110101011101010101000101101000,Humana
01110101010011000010101111010101111010100000001010,Humana
01100110110100011110100101001100011100000001001001,Aleatória
11010101111011110110001111011010100010110101100000,Aleatória
11100010001010011000000111001011010100110100001001,Aleatória
00000111111000101010101011111000011001011110011101,Humana
10001101001100000001000000011010111100110111000010,Aleatória
00000011111110001110000000101001110011110111111111,Aleatória
10101110110111011010100011110101000010101110101010,Humana
01010110001010111000101101111010001001110000011100,Aleatória
11011101110000101101010111001110111110000001101011,Aleatória
01010110011110110111100011011001101000010100111011,Aleatória
00001111010110110011001111000101000010100100001001,Humana
01010010101010101010101010101010100011110100010101,Humana
00010101111000010111100010101100001010100000101000,Humana
01011001110010001010110111010100101100101010110010,Humana
00110100101010110101010101001010101100101010110101,Humana
01100010101001010101001101001010110011101000000111,Aleatória
00000010010101011000111101100100000110111110001100,Aleatória
01001010101010001010010101010101001001011100010110,Humana
00010100010111001010101110001010000000101011110101,Humana
10100001000100100010000100101101001001010010100000,Humana
00010111001011110000010000111000101110101110010111,Humana
00011010100011100100001100101100001101110110110100,Aleatória
00000011000000011110101000011111000101010101010101,Humana
01011010100010111000111110111001100101010101001010,Aleatória
00001110101001001111111111010110000101010110010011,Aleatória
11011010010101111001100101100010000000110001110010,Aleatória
00101010010101010101010100001111010100010101010100,Humana
10001010100001010000111100101110010111000101010001,Humana
01111001101101001110011110100101110110001111011011,Aleatória
00000011101000101100101010100101010101010101010100,Humana
01010111111100111100110101011110100111110011011111,Humana
00000000000111111111111100010101010101001010101010,Humana
10101010111101100101101001110010010100110001111001,Aleatória
00111111110001010101010101000111111101010101010101,Humana
01101011000011110111100000010110001011101011000100,Aleatória
00101010100010100100100101101101010010001001111111,Humana
00001001110101010100101000010001011100000110000111,Aleatória
00101000011111011100001101010111001010101001000000,Aleatória
00101101010100110100110011000111000110101011100011,Humana
10100011000011100010000110001001100110110110011000,Aleatória
00101101101001011000000000101010010000110011101110,Aleatória
00000010000010100110000111100011111100001001111111,Aleatória
00010100100101011110110010111011110110101110111101,Humana
00100101101011101110001000101001000101100001101010,Aleatória
00000011111110000111010101000111101111111100000010,Humana
01110000001010001110100001001111111100111001110000,Aleatória
01000100010101001111101101011011011001010110101000,Aleatória
01000110011001101110001101011111000111111001110101,Aleatória
11010100101101010100101010010101011110100100101010,Humana
10100101101110101101010010101001011110100110101010,Humana
01001011010010100100101110101010010010101010101010,Humana
01000101010111001010111010101010101010010101001101,Humana
10101010101010001111100001011010001110000111001010,Humana
10101010000011010011111011101111110000011111111111,Humana
10101110111010010111100010101101001100010111111110,Humana
11110010100101010000101010111011000101001000101111,Humana
00000000000000000000000000000000000000000000000000,Humana
01010111001001001010100101001110100010010101010010,Humana
10011001110101001101001011100000100101110011110100,Humana
00001101100000011100110000101011100010100000110101,Humana
10010101001000101010010101000010010100101001010001,Humana
10101010111110001000111110100110101001111110001011,Humana
00011101110000101010101111100011010100001000110000,Humana
00101010101110000010010001011100001011001111101110,Aleatória
11100011100101001000110100001011011101011001111010,Aleatória
01000101110010110110010001110100101101010010010100,Humana
01110000110000000010010111100000010010111010110001,Aleatória
01100110011100100010100010010001001010010000001010,Aleatória
01110100010110110111001101110000100111010101100011,Humana
11010001010110111110101011111001101001101011001000,Aleatória
00101111001011110010111000101110000011010111001011,Humana
01011101110111011111110000101000011111000100001000,Aleatória
11101001010111101000101001011000100110101001110011,Aleatória
11110000111010100011001011111010011101001111100011,Humana
11110101000010110110100111100001100010000101001001,Aleatória
01111001000111101111110000011111111011011011011101,Aleatória
10100111111101001100001010110011101001010010010010,Aleatória
01010110101000001110100101101010010010100101011000,Humana
00000101001001001010010101110101011010101000110110,Humana
10101010110100100001001010100101010101001010101010,Humana
00010101000101111100100000010111110010101101010110,Humana
11100001101010101010100100101001001000000111110011,Humana
01110101111010110000010110000111000010000111000000,Aleatória
10101010101010001110000110001110000101010010101010,Humana
01100010100111010001101100100110111001101101000110,Aleatória
01010100000011100011011011111110100011010010111110,Humana
00010001000100010001000100010001000100010001001001,Humana
00000010101010010100010010101010100001001010100000,Humana
00111101001111000011000100011000101110011000000111,Aleatória
01011111010011000011111100101101110111110111110011,Humana
10010110100111110011000110101011101000000100011000,Aleatória
01101011110100011101011100000101011110110101010111,Aleatória
01100111011100111101101100110111101100111011101100,Aleatória
11110000011100000011111000000111110000001111100000,Humana
11001101111001110100010010100000111000001001000100,Aleatória
11010101010101000111010101101110000001101010101011,Humana
10100101011100010011010100001000100100110111011001,Aleatória
01111000101011111011010111101010000101000101101000,Humana
10101010101010101010101010101000011111110101010000,Humana
10011010010100111110100010100100111010011000100011,Humana
01010001001010100101010011101010100100100100010010,Aleatória
11101000011000110010101101011001101101000000011110,Aleatória
11011000011111111111000011000001110010110111100001,Aleatória
00000100010010101000010011010101000101101001010010,Humana
10001001100001010000000110001100011000000100100001,Aleatória
11101001011010010101000101010101001101011000101111,Humana
01100110011001100110011001010110011100000001101000,Humana
00000010111110100100100110110101101000110111100001,Aleatória
00110001110011000001111110001110011000011101111100,Aleatória
01010101101011011011111111000101010101010010101010,Humana
10110100111101010101011101101011111010000100101110,Aleatória
11110010100111001111100000110111111101000100000000,Aleatória
11111100100110111001101100110111010000111100100100,Aleatória
11010111111110000001011011110001001001011001110111,Aleatória
00001100010011110001101010101110100010101010010000,Humana
01010011011010100101010100111101010010101001001010,Humana
00101001111000011101011110110111111111101010110000,Aleatória
00100101100101111111100000011001100011001110011111,Aleatória
01111100000101001001111100001110001100111000110001,Humana
11100010101000010101111000010101111000101010101011,Humana
00000101100111100011110000101011110000101011101010,Humana
10110010011000011101111011000001000111101010101010,Aleatória
10111100110000001110101010001001110101011010110010,Aleatória
01101101000011010111100100010010000000101010011100,Humana
10010011101010001110100110000011111111010100110101,Aleatória
01011010001011010100100101101010010110101001010010,Humana
10010111110101000100101111000101111111111010010111,Aleatória
01110101001011101011110010011111101101010000101011,Aleatória
00100010100000000011000011011010100110101110110111,Aleatória
00100111000001011011101111111101101011110011100010,Aleatória
01001001101001101001001101001101001001101001001110,Humana
10101101110100011011110100101110101111110000011110,Aleatória
10101101010010010011010101110110011001010111010100,Aleatória
01100111111101011100100101011100001101001011001000,Aleatória
01011010101011010101010101010101010101011010101010,Humana
01100000100100101000110001100110110110001001001001,Aleatória
00000100000010000100100001001011000010101000111100,Humana
10001010000111111011110100100111111011010010001111,Aleatória
00111110011101001101011101101111110100010010011001,Aleatória
11010111101001110101000101001010101100100101000111,Aleatória
01110101010100110100110100111110000010010010000010,Humana
10010100010111110111011101000000101111001111000010,Aleatória
11011100101111110101010101100101001010011110010100,Humana
10101010100101010101010010101110001010101010010101,Humana
00010100100110010100100100101111000011101101101110,Aleatória
10001000000000100110111110100100100010001110011001,Aleatória
00000000000000000000000000000000000000000000000001,Humana
01001001011011100110010101100011011011110111010101,Humana
10000001001101111110010111000010000110100100000101,Aleatória
01001000110100011011101011000111011110100100000011,Aleatória
11111111111111111111111110000000000000000000000001,Humana
00010010111111001011011101000000000000001001111111,Aleatória
10101010000011110010101010101010101010101111101010,Humana
01010100101111110101010101001000001010101110101000,Humana
10000110101101000010010010110100010101011000001101,Aleatória
10000110000010110110011100111110101100101000100110,Aleatória
11000100001000100111100010100101101010110010110000,Aleatória
10110101010101010101010101011100001010101010110101,Humana
11000111111111110100011011000001110011000010011110,Aleatória
00110101111000101110010111100010101100001101011111,Humana
11011111101001000100111110011010100111111110111101,Humana
00011001000100000001111100010000011111000111000100,Humana
00111001000001101010111000011111100011100101110100,Aleatória
01010000011111001010010101101100010101111010100000,Aleatória
10100111010111111100111001101010100010100110101000,Aleatória
00011110000110011000000100010000110000011010101110,Aleatória
00101000110010111010111100001101001100010100111011,Aleatória
11100011011010000100111001000110111110010111001101,Humana
10001111011001010011011000110011100110000110111101,Aleatória
10110100001000100010100111100111101111110100010001,Aleatória
11000110101100010100110100111000100110110010001101,Humana
00000000111001111100010101001110101111010101001010,Aleatória
00100101111001101111010110101111100010001001011011,Aleatória
10110011010001001101010111111010011001110101101010,Aleatória
01011010101010110110000000001010010011011101010010,Aleatória
11100000000111101010101010111100011010101010101010,Humana
01100111010100001011010111001100101011000101011101,Humana
00000011110010111101001011010000100011111000001011,Aleatória
00110100101110011110101001101011000000000011111110,Aleatória
10110110001110011001100000100000100011010110010110,Aleatória
10100010001101111111001011000100011110101101011011,Aleatória
01010101010000011110001010101000111100001111000011,Humana
11010110101010100101010101010101010101001010101011,Humana
10011001010101001010100101010101010101010100101100,Humana
01111010011001100000001010110110100001001111000110,Aleatória
01111010110101101010101111111011011010011100000001,Aleatória
11110000101110001010101111110010101100101011110100,Humana
11011000010100111101111001100010110000110100010111,Aleatória
00101010001011110101010100010101110101001110101010,Humana
11000101110100011100101111110011010001101011101000,Aleatória
01100110100110111001101010010110001101011010111011,Aleatória
11111100111010010100101101001110010100001101100011,Aleatória
10001000100100001111100101010011010100011001001001,Aleatória
01010101111110100000000000000000000000000000000000,Humana
11110110101100011000011000001100011000010000100001,Humana
01111010100101101000110111000110010001110100001000,Aleatória
11000101111001000011111000010110100001000111000011,Aleatória
01110101101011100011100100101100000001011111110000,Aleatória
10010101110111111011000101010111101101100010110111,Aleatória
11100101000101011100101101000111101010011011100100,Humana
00001000100001100100001010011000111010000100101010,Humana
11000010100010001001110000010000000100001000000100,Aleatória
11101011101110011111101000111101111111010010010000,Aleatória
01111010111000011010110100001001110111000001010111,Aleatória
01011010101101010010011011010100110001011010100100,Humana
10011110010101101100010011000010100000111001000010,Aleatória
10101010101010100100000001000000011111110111111110,Humana
01010110101001001010010101001010101001011101000101,Humana
01100101100100110101100101011011110101011011010110,Humana
11010100011011001110101000000001101001011101100101,Aleatória
00000000100000011000101010111110101010110101011101,Humana
10111000101000100100011100110101101011101100011101,Aleatória
11011110100010000100000110001100111010010010010111,Aleatória
10000000000000000000000000000000000000000000000001,Humana
01000011000111111100001100011101111111000101001001,Aleatória
11010100010101000011111111010101010000000001011110,Humana
10101010101010100100000001000000011111110111111111,Humana
01101110111100010001011011101010111100001010111110,Humana
01011011110111011110101001010101110100100010001010,Aleatória
11001011000101110010110100000111100010101010000100,Humana
01011010010010110010101000100101010010101001000100,Humana
10001001010101101101010110101101010010101101010101,Humana
10000111110101010110000001110111001010100010110001,Humana
10100001110000101011101100010101110010100111111100,Humana
00010001100110100001010100100011001111110111111100,Aleatória
01000010001010010101010001110011011101100111110110,Aleatória
11011110010001010001100011101101010001111011110011,Aleatória
00111100011001011101111101110001111011100111000101,Aleatória
11111111110101111000101001111010110101110101101011,Humana
01100001010111100101000001010010011101010110101100,Aleatória
00101111110111111110011011111101111111100010111101,Aleatória
10111001101000010001001001000011100111101111000111,Aleatória
10000000100111110010010100101111001111100100101000,Aleatória
11100000100000000110001100110001111111101001010100,Aleatória
01001000101001011010010101001010100100101001010111,Humana
11000100001011111000010111001110010100001010101111,Humana
00110011001100000000111111110101010100010110011001,Humana
01001110111001111010100011110101000000110001100101,Aleatória
00100110001011000101100000011000011000100010010001,Aleatória
11100011101101010011010100110101011001000000011011,Aleatória
10101011110001010111100010111110001011110011010110,Humana
01010101010101010111101010111100001101010000101010,Humana
10000000000001000000000000001000000000000000100011,Humana
11101010100101010001010001010011110101011101010001,Humana
01010110100011000001000100101001111101011000011111,Aleatória
11001110000101110000110001011110001110010011001001,Aleatória
00101101100111100101111111001110011010011001010100,Aleatória
01011000111001001001011111000110110011011111110101,Aleatória
11001100111110100010001001101100110001111100101111,Aleatória
01001110000110000110001100010000110011001010110000,Aleatória
10101110110101111111111011100111010000011001000110,Humana
11111111111111111100000000000000010101010101000000,Humana
00101111100101111100101111100010111110001010110011,Humana
11110011000111101011011111100001011100010010100011,Aleatória
10101001010100111100001000100011100101010100101010,Humana
10101110101011100101011010101010110010110111110011,Aleatória
10100011011101100110010101100000010001010010111011,Aleatória
01001010100101011010101010010010100101010010110110,Humana
00110000100001101101010001111000011001111011101011,Aleatória
01001011100100001011010110011010100000111010001110,Humana
01000000100000110110100111001011001011010011010010,Aleatória
01100001111011000011100010000000011001000001010011,Aleatória
00000110000000001010000000000000010000001000011101,Humana
11000000011000111010110100001100100001110111111000,Aleatória
11101010100000000010110011111110100000010101000101,Humana
10101111010111000101111000010101110010101010000111,Humana
01001010011010101010101010101011010110101011010101,Humana
11100011110010111100101111010101000111000101010110,Humana
00101101001001010100110100110010101001001010110100,Humana
01010101110111010100010101010100101011011100001101,Humana
11011100100111000010100010011110011101100101011100,Aleatória
01000001000011001100001011110010100110100000010110,Aleatória
11111111100000000111111110000000001111111110000000,Humana
00011110011011111111000010110100100011011101011101,Humana
00110101101101101111011111010001101110010101001001,Aleatória
01010000101001110100100111110110000001010110001010,Aleatória
10010101111010000110101011011101010100010000001100,Humana
10010011000100110001100001011011101111110111110111,Aleatória
01001111111001111110000010111110100101101100111000,Aleatória
00111000011001111100101111001111111000110001000010,Aleatória
00010000100010001110000011101110000011010001101101,Humana
01010101011110000011000010000101111000101100011100,Humana
01110001011110000101000101110000101111000101010111,Humana
10110000000011001010100011111101001011101110110101,Aleatória
10111001100101100101111001110101001001000100111110,Aleatória
00000000000000000100000000000000100000000000100000,Humana
00010101011011100101010101111000001000011100101100,Humana
11100011010010001111110111000110010001101010001110,Aleatória
10011110100101100010101100011111100001100101100001,Aleatória
00101011101010001101100101010100010101000101110101,Humana
11001000111011110101100000011111110000100000111000,Aleatória
11001111000010001100110000001110100011111110000101,Aleatória
10001110011010001011111000101010101101110011111111,Aleatória
11111101000010011101111011110001100011110001100110,Aleatória
00000011011000100000010001111101101010010101011101,Aleatória
01011000001000010011000011101000011000011110110001,Aleatória
10011110010000000111001100010110110100101110100100,Aleatória
01100100110001011010101001011101000010001010000110,Aleatória
10010010101001010010010000011111001001001010010101,Humana
01110100001010001001010101111011001101101101110110,Aleatória
10101011101010100001010101011110101010000010101111,Humana
11100110001001011011110000111001001111000101000000,Aleatória
00001000010000100001000010000010000100000100000100,Humana
10100111010010100101100101010101010001110000101001,Humana
01001000100111011101011010011110100111010011110000,Aleatória
10001001010010110011001101011000011100000001001011,Aleatória
00011111010010011001101000110110011010011001101010,Humana
01100110010110101101111110011010011100101010001110,Aleatória
01010101111100000110101010101010010101111010101010,Humana
11100100101101110010100000011001101111011101100111,Aleatória
10100101010010111000111001001111001101010010100101,Humana
00000000011010000001111010101010101000100110110110,Humana
01100001101101110011010111100100111010001100110011,Aleatória
01101001010011011001101000010110101100010111011100,Aleatória
10101011111010101010110101010110110101010001010100,Humana
11000111011101110111010011100010011010111000000010,Aleatória
10100100110001101110110011001010001101111000001100,Aleatória
10101010111111111100100001011010010101000000101101,Humana
10101110010001010000111011110100101000101001101001,Humana
00011011001011010111100101010010110001110110100110,Aleatória
01111111010111000101101010111110111101111011001100,Aleatória
11101001001000001110010110001011000101010111110111,Aleatória
00010101110010111001010111000011100100010101110001,Humana
10101010010101010010100101010011101101001010110101,Humana
10101001001100101100110110011111001000101010100100,Aleatória
01010101010100010101010111110101000111010100101000,Humana
11111000110110000100000011100101111010011001011011,Aleatória
00101010000010110111101111000110111100101100101001,Aleatória
00011001111100011011100000101010100110001110011001,Aleatória
00001110101000011011010011010101001010101010101010,Humana
10100110010100111111111001010101001010101011000011,Humana
00000001000001010111111000001111100000011111000001,Humana
00010010101111110000101000001100011101011110010101,Humana
00010101111001010001010100011110010101111000010101,Humana
01100110100101010010110101010101010101010101010100,Humana
01001110100101010101011001001010101101000101001000,Humana
01010101010101010101010101010101010101010101010101,Humana
10101010101010101010101000011100011100100101010101,Humana
00101011100010101110000010100001111000101011100101,Humana
00001010001000101110110111110101100110100100010111,Aleatória
11010001010101101100110111001010111010001010011010,Humana
00110101011101100010001011101011010101001011011010,Aleatória
00100101000100110110001100111010010011110111011110,Humana
00101010010101111010001000001111010010000101001001,Humana
11000110010100010011110111101010110001101101101100,Aleatória
01011010101010101010010101111111000101101000110010,Humana
10010111001101000010001001010111011011001111000010,Aleatória
01010101010001011001010110100101010110101001010010,Humana
01001000011010011111110101111011000011110110100011,Aleatória
01110010101010001010110100101100101001010010101000,Humana
01000111010100011110001101110100111001110111100010,Aleatória
10101111000110000111001101101101101001011111001001,Aleatória
00101111000111000010111101001011101110000010000100,Aleatória
01010101010101010101010101010010101010101010101010,Humana
10100110101010111111111111111111000000000000000000,Humana
10010101010100100010011111000100111100101010100010,Humana
01100011001001010000111000111000110001101010101001,Humana
01010011001100010100001010000110110001100111100110,Aleatória
01110100111000110001001010011111111111100111110110,Aleatória
01011010001011111100100111001011000111001000011001,Aleatória
01001000101001111111001101001111010111001100000100,Aleatória
10000100010010111001011111011111101011000011100011,Aleatória
00111000001111100011100001100011111011000110110101,Aleatória
01100011000011100000111011110000111100001000001111,Humana
00100011110000110010100110011111000101111001010010,Aleatória
01010111010011001001010100101011110101000111000110,Humana
11101010111001101100111111001111110010000100110011,Aleatória
01010100111111111111110001010101010101001010111100,Humana
10100011010000011100101100110001101110101101101011,Aleatória
00000001010111101010101010010010001010001010101000,Humana
01100001001110001010101010000101000100011110111100,Aleatória
00011110101111111110000110111001100010011100010011,Aleatória
11101000010111111101101100101011000100010111001100,Aleatória
00111001100101110011100001001100001111101110011010,Aleatória
10111101101101111110110101011110101000100000111100,Aleatória
11011001101101100101111110101110100001101000100110,Aleatória
11100101000011100011100110101010001010011111110000,Humana
01010110001010110111101001010001010101111011010011,Humana
10100001000111010001110100011011111010010000001010,Aleatória
10100001011100100101001011100100011010101011010111,Humana
10100001001001010111000000010111110111001010010011,Aleatória
01010101010101000101001010110101110100101000100101,Humana
10101001010101101010100100101010100111101100010000,Humana
11000000100110101001100101000101011011101111100000,Aleatória
00101110101000000111101010001011111011111011111000,Humana
00101010101111001010111001000000101111001011111000,Humana
01001000000001011100100111111101000001011011000101,Aleatória
00111111000100011001000001110011000011010001110111,Aleatória
10101010101010101010101010101010101000100010011110,Humana
01111110101110001101001010111010100100001101100001,Aleatória
01010011010010000100100100100100001010111001000001,Aleatória
11010110111111100011000110011110101110001100000000,Aleatória
00000100111000001011011011001111010110111010011001,Aleatória
01111011111111110100000100000110110110111011100111,Aleatória
01001010010111001010010010100101001010100101001010,Humana
10101010001100111101010001100100001110100111001111,Humana
11000101011000111011110110001011110101111101000000,Aleatória
01100101100010011110010000000111001001101111111111,Aleatória
01010000111100011110010000001000101011110000000000,Humana
11011101110101110010100001101001101101010000101001,Aleatória
01000101010101010101111111000011100101010100110000,Humana
01010100100010110011100101101010010110000000111111,Humana
11010000101101000011111110100001111111000110011010,Aleatória
10100101111001000100101001010010100000100101000000,Humana
10110011111001101011101011011101110001000111111110,Aleatória
01010110101110110001010101101100010101001101010101,Humana
01000101111000111001101010011001001011000011011101,Aleatória
01010101010101010101011010101111100010101101010101,Humana
11001001111101001000001010101011010111100101010100,Humana
00101101001011101001010010110010110010001101000101,Aleatória
01010100101010101001010101010110010101010110010100,Humana
10010101000011001111011100110100100000101011011011,Aleatória
10000010100000010111111101010010110111001011111000,Aleatória
10110100111010000101110100010100011110100101111000,Aleatória
01010000011101000101100111101101101110110011111110,Aleatória
00000101100110100111011010100011011110100010000110,Aleatória
01001111101101010101010110101101010101010101111111,Humana
01111001001100010110110011101100011010001100000001,Aleatória
10010110100100101011111010110010000110111110000101,Aleatória
01010101000010101010101010101010010101011010101010,Humana
00101101010100011010011000010011100010010011001001,Aleatória
01111011110101111011000111011001000001110100000010,Aleatória
11111010101000101010010100000110100100001100000100,Humana
00010010010100101011111111110101010010010010101010,Humana
01010101010010101010101010010101010100101010101110,Humana
00000001010100000101010100100101010010010101011010,Humana
10110101000010101010111100000010101010100101010110,Humana
00011110101101100011110100010101010001000110111000,Aleatória
01100011110100101001001001101100011111010101000000,Aleatória
11111111111111111111111111111111111111111111111110,Humana
11111111111111110000000000000000111111111111111000,Humana
00110100100010101000011110000111000100000000010010,Aleatória
00111011010110111010010111010100010111001010101111,Humana
10010011100000111010010101010101011000011010001101,Humana
11000010010001000101111010100001110101001100010101,Aleatória
00011100011100001111000001111100001111111000111000,Humana
01011101001001010000101001000010010010101101010011,Humana
10100101001010101010101110110000101100101010111010,Humana
01011111111111100000000101010101010110000000001111,Humana
00011111010100101011000000111000100011111001011111,Aleatória
11110001001010101010101010010101010100101010100101,Humana
00011100001111000001010101010100001010101010101000,Humana
01100011111010101100100101001110100011001000011010,Aleatória
01100001001111100110111010011010001110010010110101,Aleatória
11111111101001000010000001101000100000111101001010,Humana
00101011010010111000100001111100011100001000011110,Aleatória
11110000101010010001000010001111010101000100101101,Humana
00101001001000110110000001111110010010000111111111,Aleatória
01100001001011111101010001101011011100011001000000,Aleatória
11010001000010100111001100111111000101001011100101,Humana
00101110011010010110001111011100010000110100100000,Aleatória
01110100110111100100101000000011000110101110011101,Aleatória
11100010101111000001110010010011011010101101111100,Aleatória
11010110101110110110101110101100011101110110111101,Humana
00100000111000011101100000000010011010100110010100,Aleatória
11010100001000001111001111111001101100100101111100,Aleatória
10110100010001011011011100001011110001101110010111,Aleatória
00101110010000011111110010100001010111100101100110,Humana
11100111000000101101101110101100001011111010111011,Aleatória
00001110010111110010100001000010001011000001111111,Humana
11101010110000111010100011101011111101110101110011,Aleatória
01101010010101001010101010101001110011000111100011,Humana
10001001010100010100101001111110011101001010100101,Humana
00101110010010101001011010010101011010010101001010,Humana
10101110111010100011111101011100011010001000100100,Aleatória
01010101110010101010101010010010101001001110100100,Humana
11010110000101000010010001111001111100001000011010,Aleatória
01011100001011110001011110000101110000011100101100,Humana
10010101010010101001001010101001010001001010010101,Humana
01010101010010000000111110001000001001001001000010,Humana
11010111100101111000101000000101000011110010111100,Humana
01011010101001011001010010110101001000101010100101,Humana
00010101110001011000101100101011000010101110010000,Humana
00010011110110010001011100011001011100110001001111,Aleatória
01010111101110000110001110100100010101000011010011,Humana
01001010010011000100010001000111000111001011100001,Humana
10000001000110000101110011001000101101111100010111,Aleatória
11110000101010011110000011100011100011110000111000,Humana
01010101010000100101010100000101010010000001000000,Humana
10100110111001000101010010101011101001010000101010,Humana
11111000010100000101000111000100000111000000000011,Aleatória
10000001110011011100010111110110110111100101111000,Aleatória
11000010101000110111000001001111010000100011101110,Aleatória
01011011101110111011101110111101110111011101110110,Humana
11111101010100110100111110101010100100000010110101,Humana
01001110000100101110000101011001010001011001001000,Humana
00000100001011101110101110101011110001101000101001,Aleatória
01110101100000000000100001000000101001010111101110,Aleatória
11111111111111000000011111111100000001010101010010,Humana
01101110111011110011010110111111001010101110100100,Humana
11110001100011010101101011100001001111010110001100,Aleatória
10011010101001010101001010011101010100101010010100,Humana
00101001011100001010100010010000000111001010101011,Humana
00000111111000011000010000110110110011011101010111,Aleatória
01010111110111111100000001101010100000001010101010,Humana
01010011111111111111111111111111111111111111111000,Humana
01101100100000111010101001000011110010101100101100,Aleatória
01001101101111000001000110110010110011110000100111,Aleatória
11111001010010100100010101101100011111100001001000,Humana
00001000101010001110000000000100100010001001101001,Aleatória
10100001001111010101011110101000101111100001010110,Humana
11101111101110001101000011111001110010011111011100,Aleatória
01001010100101010011010101101001010101101000110010,Humana
00101010101010101000100101111111010101010101010101,Humana
00101010110100100111101001010001100100101010101010,Humana
00000001111101000010001010101010010101000100101010,Humana
11000101111010101001011011101100101101000001101110,Aleatória
00111000111101011111001011100011000011111111000000,Humana
10111000101100010111111000101111100101011001010000,Humana
11010100010011010100001100110011011010110100011100,Aleatória
00010100011010111111111111111110000101010001000101,Humana
